ticker,degree,weighted_degree,betweenness,eigenvector,community,rank_degree,rank_weighted_degree,rank_betweenness,rank_eigenvector
AMC,5,1.8477998386923382,0.005922713693745782,2.3436325530018454e-13,11,591.0,828.0,168.0,3118.0
WPC,5,3.658356510453517,2.604512578493498e-08,9.534982738171614e-09,11,591.0,598.0,1253.0,1699.0
SVC,5,3.0217295505250505,0.00028910089621277823,4.0746340150209936e-10,11,591.0,648.0,818.0,2341.0
SUPV,5,3.9655034716286846,0.0,1.7939975917786362e-12,24,591.0,568.0,1254.0,2987.0
ARW,5,3.3424283346913537,0.004497017619684387,3.387561753500102e-13,57,591.0,621.0,215.0,3083.0
AQMS,5,0.9038681094058791,0.001156403584851113,3.939508503367896e-07,42,591.0,1220.0,462.0,1087.0
MOS,5,2.8330945187160212,0.0014455044810638912,4.5115649027963275e-09,10,591.0,682.0,418.0,1786.0
ALK,5,3.7126103804988553,0.00028910089621277823,2.1335950004194856e-12,18,591.0,590.0,818.0,2975.0
ESNT,5,3.8085359680447897,0.017450130095403294,1.447536181765837e-06,14,591.0,575.0,63.0,747.0
NVMI,5,3.160954191840339,0.0005782017924255565,9.05179500375215e-09,57,591.0,632.0,641.0,1707.0
TER,5,3.3412848504800676,0.00028910089621277823,9.383032559672468e-09,57,591.0,622.0,818.0,1702.0
GGG,5,3.3987851751742877,0.003912820018630947,1.5357914003982104e-07,16,591.0,616.0,259.0,1271.0
GFI,5,3.8054811877139216,0.0,5.598353444083731e-10,26,591.0,576.0,1254.0,2274.0
MRSH,5,3.640064771925906,0.004774019466127011,1.1827635228260715e-05,54,591.0,602.0,206.0,445.0
THO,5,3.551323786104634,0.001156403584851113,4.982980144780039e-08,4,591.0,606.0,462.0,1442.0
THG,5,3.1899653878961294,0.0008673026886383347,2.4717118806941824e-05,54,591.0,630.0,524.0,412.0
PNR,4,2.2883257613095123,0.00028910089621277823,4.779321553680946e-06,16,660.0,733.0,818.0,524.0
PLUG,4,1.5364040873257303,0.001156403584851113,2.4207954881331055e-12,42,660.0,900.0,462.0,2966.0
CCL,4,3.424104554026474,1.9337852589483496e-06,1.1946727827288034e-11,18,660.0,614.0,1207.0,2789.0
HPE,4,2.337857195566598,0.001156403584851113,0.00010819396137259146,54,660.0,725.0,462.0,342.0
YPF,4,2.3556166910348426,0.0031801098583405605,7.008257201091246e-13,24,660.0,722.0,333.0,3040.0
BCH,4,2.2270694556168102,0.001156403584851113,2.0227018866634893e-08,12,660.0,746.0,462.0,1581.0
GAP,4,2.3052830453488173,0.0031801098583405605,3.8322743405751796e-08,48,660.0,731.0,333.0,1488.0
RSG,4,2.7756044988580078,0.004483954900260189,2.0936598347106967e-08,43,660.0,686.0,223.0,1574.0
ELS,4,2.975728062672641,0.0020343301574957924,4.216507002553065e-09,11,660.0,654.0,367.0,1796.0
RCL,4,3.188299634257261,0.0005782017924255565,1.0198919282857786e-11,18,660.0,631.0,641.0,2799.0
CHSCM,4,2.450592804694132,0.005345475570974268,1.768600024723916e-07,29,660.0,709.0,183.0,1254.0
CHSCO,4,2.2001896076873995,0.0008673026886383347,4.408620395847884e-09,29,660.0,753.0,524.0,1790.0
RELX,4,1.8924902953962672,0.00419774501300954,1.5537713270060237e-08,30,660.0,819.0,240.0,1621.0
UTG,4,2.8912507548617175,0.047185327210969207,1.9771546942259046e-06,29,660.0,669.0,24.0,722.0
UHT,4,2.5700453407280244,0.001156403584851113,5.320738770579978e-10,11,660.0,693.0,462.0,2288.0
HBM,4,2.416643070237716,0.0008673026886383347,2.7194947971067502e-11,24,660.0,714.0,524.0,2679.0
