network,model_type,repetition,nodes,edges,density,min_degree,max_degree,average_degree,average_clustering,assortativity,connected,largest_cc_size,average_path_lcc,diameter_lcc,louvain_communities_unweighted,modularity_unweighted,louvain_communities_weighted,modularity_weighted,degree_sequence_error_mean,degree_sequence_error_max
BA similar avg degree rep 24,BA similar avg degree,24,3461,13828,0.002309466507892236,4,226,7.990754117307136,0.014376206863999723,-0.04598942682617816,True,3461,3.578438354379853,6,18,0.3177316314514559,,,,
Configuration model rep 24,Configuration model,24,3461,12153,0.0020297184314734124,1,257,7.022825772898006,0.05832791606652943,-0.06765627353919686,False,3311,3.557069221792049,9,93,0.30720260912104586,,,0.6108061253972841,104.0
"ER same n,m rep 25","ER same n,m",25,3461,13210,0.0022062519937269625,0,19,7.63363189829529,0.001782963030137427,-0.008138187000229767,False,3459,4.240289328297727,7,26,0.32230530686671544,,,,
BA similar avg degree rep 25,BA similar avg degree,25,3461,13828,0.002309466507892236,4,234,7.990754117307136,0.012906999027668743,-0.04036138071560146,True,3461,3.591368728006373,5,19,0.31505041503745884,,,,
Configuration model rep 25,Configuration model,25,3461,12141,0.0020277142661498148,1,252,7.015891360878359,0.06047223265908103,-0.06322701559538671,False,3305,3.555719743729693,8,99,0.30424358026231346,,,0.6177405374169315,109.0
"ER same n,m rep 26","ER same n,m",26,3461,13210,0.0022062519937269625,1,20,7.63363189829529,0.0022118490310274394,0.011996976459307643,True,3461,4.2414730281100885,8,20,0.327718199744304,,,,
BA similar avg degree rep 26,BA similar avg degree,26,3461,13828,0.002309466507892236,4,183,7.990754117307136,0.013531847502107704,-0.050703888637811806,True,3461,3.5801325421334007,6,14,0.32770702891066567,,,,
Configuration model rep 26,Configuration model,26,3461,12174,0.002033225720789708,1,250,7.03496099393239,0.05815033709209665,-0.06245461199615714,False,3314,3.5646511311031084,7,93,0.3061266885890851,,,0.5986709043629009,111.0
"ER same n,m rep 27","ER same n,m",27,3461,13210,0.0022062519937269625,0,18,7.63363189829529,0.002331727858607203,-0.010299340673704227,False,3457,4.236528273283408,7,27,0.3220707851563373,,,,
BA similar avg degree rep 27,BA similar avg degree,27,3461,13828,0.002309466507892236,4,182,7.990754117307136,0.01256901628171463,-0.030325888788786993,True,3461,3.6033589810823496,6,22,0.3102570657323174,,,,
