ticker,degree,weighted_degree,betweenness,eigenvector,community
MCHP,18,12.728044705306244,0.024719588400421006,9.886912352606695e-09,57
EMO,18,12.382468678696373,0.001151336820230853,7.981086913907945e-08,10
PHM,18,13.827742509639169,0.020942128578005998,1.98256958829909e-09,55
ACV,18,13.161834420488978,1.0465740340060051e-06,1.8407952086758437e-05,29
SHEL,18,13.561578886481193,0.004343194950665051,7.8562931308487e-08,10
IIM,18,13.32756269117308,0.0014920206623010718,1.3224767947326776e-08,33
DOC,18,12.759705204919833,0.005305993850234384,1.1347571867483472e-08,11
ED,18,13.81843368984544,0.0,6.095296052751615e-08,8
NWE,18,13.085218845189232,0.0019817215305687245,4.609697954567242e-08,8
KRG,18,13.818554178885744,0.004442892969672434,1.0451299188923739e-08,11
LRCX,18,13.333887953774484,0.06614951807455294,4.162433938341935e-07,57
KGC,18,13.436210015071138,0.00029014487167132436,1.7370721146181198e-09,26
EOD,18,12.968175765326276,0.0,2.1846133844838215e-05,29
TKR,18,11.99090897156492,0.015506270744797069,1.367574927853336e-05,16
AMAT,18,13.319982263371935,0.0014942119330670937,1.3332064260172106e-08,57
UE,17,13.085526826353364,0.005370771331161688,1.0406434710427131e-08,11
THQ,17,11.05378329950606,0.11457646718704825,9.188602035766772e-06,29
TMHC,17,13.24971414204198,0.0008685684610807479,1.927809716912166e-09,55
AWP,17,12.590248255788689,0.0005466827173921936,1.2982361519123054e-05,29
PDM,17,12.548122324708233,0.0016412940163511964,4.265905250537688e-09,11
BP,17,12.798906659739012,4.284448513271872e-06,5.131839473213687e-08,10
BKH,17,12.481217715496944,6.724156249367801e-05,5.0784656302317504e-08,8
CET,17,12.32662854628302,0.0,5.2768110364491695e-05,29
MPWR,17,10.918464583371819,0.007553242748385842,9.731331374557232e-09,57
GLQ,17,11.84432553304216,0.0003097876714528926,1.8200915144001735e-05,29
VGM,17,12.869665114319755,5.02784167326571e-06,1.3646439785714857e-08,33
ITW,17,11.59750060916569,0.060635219852790856,8.223300446347896e-06,16
DRH,17,12.403389570043549,0.015639641773407858,1.5554901708289017e-09,11
RNP,17,12.540826750247636,0.0013049797614659113,5.844605618599127e-06,29
BRX,17,13.20046763919917,0.0015601696704973034,1.0467357909506016e-08,11
SM,17,12.210729611684451,0.0006904500828185699,4.413743361615861e-08,10
PK,16,12.013622480335831,0.025102002637562067,1.3741197286772404e-09,11
OXY,16,11.794406075340184,0.0005927147500759817,4.684438970127723e-08,10
MTH,16,12.612156150633885,0.0036227363323344825,1.9310538770672714e-09,55
CLDT,16,11.869420053803168,0.011314374165341423,2.116858975079271e-09,11
NRO,16,11.785939481867434,0.0003872615176318627,6.4646354448150635e-06,29
NRK,16,11.042674574136628,0.0005807149816979247,1.1898549826633537e-08,33
AKR,16,12.371152603444358,0.0010705091385235072,1.0067672733834893e-08,11
RLJ,16,12.009839127535793,0.01090962766445434,1.5356452937049315e-09,11
