source,target,correlation,distance,edge_type
BMI,XYL,0.5558421102330545,0.9425050554420867,MST
LOW,WSM,0.5555565667058754,0.9428079690945814,MST
CCK,RVT,0.5555107355455138,0.942856579183161,MST
JOE,RVT,0.5555023706437264,0.9428654510122572,MST
FTNT,PANW,0.5554540780828602,0.9429166685525713,MST
ITRI,RVT,0.5554202552996012,0.9429525382546026,MST
JOYY,MOMO,0.5553894872999081,0.9429851671156784,MST
CTSH,INFY,0.5553326741413968,0.9430454133906843,MST
BWXT,CW,0.5549028432656063,0.9435010935175365,MST
EA,TTWO,0.5545446250200747,0.9438806862945394,MST
COF,RM,0.5542300525071456,0.9442139031944555,MST
ACM,FLR,0.5540164042655348,0.9444401471077616,MST
BCO,RVT,0.5539825366879927,0.9444760063781475,MST
BABA,GDS,0.5539180440075109,0.9445442879955276,MST
AZN,GSK,0.5535317473657599,0.9449531762306956,MST
DOX,PAYX,0.5535267989764004,0.9449584128665129,MST
TOWN,TRC,0.5534925451662631,0.9449946611846406,MST
LZB,RVT,0.5531740949616802,0.9453315873684955,MST
CNQ,GPRK,0.5530676498564729,0.9454441814761219,MST
BEP,BIP,0.5530477593413499,0.9454652195175136,MST
GRMN,RVT,0.5529438076159139,0.9455751608244435,MST
RICK,RVT,0.5527169012002917,0.9458150969398916,MST
BJRI,RRGB,0.5525677840903394,0.945972743697894,MST
GOOD,RMAX,0.5517863733625821,0.9467984227251521,MST
UONE,UONEK,0.5516987844685413,0.9468909288101336,MST
AMN,CCRN,0.5515722749820675,0.9470245245165856,MST
BUD,DEO,0.5515223453715542,0.9470772456652581,MST
HAS,MAT,0.5515073840049904,0.9470930429424657,MST
HY,NPO,0.55146975373956,0.9471327744940938,MST
KHC,MDLZ,0.5514175283375057,0.9471879134179176,MST
MCO,RELX,0.551014600964042,0.9476132112164308,MST
SGRY,THC,0.5509392719203611,0.9476927013327041,MST
DAN,OI,0.5506051544530727,0.9480451946473093,MST
HASI,RMT,0.5505856670571003,0.948065749769392,MST
PRU,SMFG,0.550582975564164,0.9480685886958137,MST
DOO,PII,0.55033540664864,0.9483296824958712,MST
BTI,PM,0.550322705120968,0.9483430759793968,MST
CTBI,FMAO,0.5500827191222758,0.9485961004323433,MST
DBRG,EVT,0.5500665991440544,0.9486130937910836,MST
PLXS,TTMI,0.5500257496085693,0.9486561551915749,MST
GFF,UFPI,0.5499525573212808,0.9487333057068453,MST
ALLY,CACC,0.5498982100223786,0.9487905880410297,MST
DKS,WSM,0.549416232109993,0.9492984439995749,MST
FIX,IESC,0.5494135563108602,0.9493012627076188,MST
SBUX,TY,0.5491818570760071,0.9495453047896061,MST
JKHY,PAYX,0.5490537048237898,0.9496802569035646,MST
PSX,WKC,0.548837949888464,0.9499074166586299,MST
STLD,SXC,0.5487817620263634,0.9499665656996951,MST
ATRO,MOG-A,0.5487496276480951,0.9500003919492928,MST
DORM,SMP,0.5483810669703874,0.950388271212995,MST
MYI,SBI,0.5480412418396474,0.9507457685000261,MST
KFRC,RHI,0.547800766706469,0.9509986680259136,MST
CCK,SLGN,0.5476286008449867,0.9511796877089137,MST
IDCC,RVT,0.547592138304535,0.951218020955727,MST
DELL,HPE,0.5474807252439511,0.9513351404799981,MST
L,SPNT,0.5470733826113858,0.9517632241147104,MST
